Feature,Attribute,Label,Label Size,P,Entropy Formula,Entropy Value,Feature Entropy
Shape,round,yes,4,4/7,-4/7 * log2(4/7),0.461,7/15*0.461 = 0.215
Shape,round,no,3,3/7,-3/7 * log2(3/7),0.524,7/15*0.524 = 0.244
Shape,square,yes,3,3/8,-3/8 * log2(3/8),0.531,8/15*0.531 = 0.283
Shape,square,no,5,5/8,-5/8 * log2(5/8),0.424,8/15*0.424 = 0.226
Shape,,,,,,, 0.969
Size,large,yes,6,6/8,-6/8 * log2(6/8),0.311,8/15*0.311 = 0.166
Size,large,no,2,2/8,-2/8 * log2(2/8),0.500,8/15*0.500 = 0.267
Size,small,yes,1,1/7,-1/7 * log2(1/7),0.401,7/15*0.401 = 0.187
Size,small,no,6,6/7,-6/7 * log2(6/7),0.191,7/15*0.191 = 0.089
Size,,,,,,, 0.709
Color,blue,yes,0,0/3,0,0.000,3/15*0.000 = 0.000
Color,blue,no,3,3/3,-3/3 * log2(3/3),0.000,3/15*0.000 = 0.000
Color,green,yes,4,4/6,-4/6 * log2(4/6),0.390,6/15*0.390 = 0.156
Color,green,no,2,2/6,-2/6 * log2(2/6),0.528,6/15*0.528 = 0.211
Color,red,yes,3,3/6,-3/6 * log2(3/6),0.500,6/15*0.500 = 0.200
Color,red,no,3,3/6,-3/6 * log2(3/6),0.500,6/15*0.500 = 0.200
Color,,,,,,, 0.767
Shape,round,yes,3,3/4,-3/4 * log2(3/4),0.311,4/8*0.311 = 0.156
Shape,round,no,1,1/4,-1/4 * log2(1/4),0.500,4/8*0.500 = 0.250
Shape,square,yes,3,3/4,-3/4 * log2(3/4),0.311,4/8*0.311 = 0.156
Shape,square,no,1,1/4,-1/4 * log2(1/4),0.500,4/8*0.500 = 0.250
Shape,,,,,,, 0.811
Color,blue,yes,0,0/1,0,0.000,1/8*0.000 = 0.000
Color,blue,no,1,1/1,-1/1 * log2(1/1),0.000,1/8*0.000 = 0.000
Color,green,yes,4,4/4,-4/4 * log2(4/4),0.000,4/8*0.000 = 0.000
Color,green,no,0,0/4,0,0.000,4/8*0.000 = 0.000
Color,red,yes,2,2/3,-2/3 * log2(2/3),0.390,3/8*0.390 = 0.146
Color,red,no,1,1/3,-1/3 * log2(1/3),0.528,3/8*0.528 = 0.198
Color,,,,,,, 0.344
Shape,round,yes,2,2/2,-2/2 * log2(2/2),0.000,2/3*0.000 = 0.000
Shape,round,no,0,0/2,0,0.000,2/3*0.000 = 0.000
Shape,square,yes,0,0/1,0,0.000,1/3*0.000 = 0.000
Shape,square,no,1,1/1,-1/1 * log2(1/1),0.000,1/3*0.000 = 0.000
Shape,,,,,,, 0.000
Shape,round,yes,1,1/3,-1/3 * log2(1/3),0.528,3/7*0.528 = 0.226
Shape,round,no,2,2/3,-2/3 * log2(2/3),0.390,3/7*0.390 = 0.167
Shape,square,yes,0,0/4,0,0.000,4/7*0.000 = 0.000
Shape,square,no,4,4/4,-4/4 * log2(4/4),0.000,4/7*0.000 = 0.000
Shape,,,,,,, 0.394
Color,blue,yes,0,0/2,0,0.000,2/7*0.000 = 0.000
Color,blue,no,2,2/2,-2/2 * log2(2/2),0.000,2/7*0.000 = 0.000
Color,green,yes,0,0/2,0,0.000,2/7*0.000 = 0.000
Color,green,no,2,2/2,-2/2 * log2(2/2),0.000,2/7*0.000 = 0.000
Color,red,yes,1,1/3,-1/3 * log2(1/3),0.528,3/7*0.528 = 0.226
Color,red,no,2,2/3,-2/3 * log2(2/3),0.390,3/7*0.390 = 0.167
Color,,,,,,, 0.394
Color,blue,yes,0,0/1,0,0.000,1/3*0.000 = 0.000
Color,blue,no,1,1/1,-1/1 * log2(1/1),0.000,1/3*0.000 = 0.000
Color,green,yes,0,0/1,0,0.000,1/3*0.000 = 0.000
Color,green,no,1,1/1,-1/1 * log2(1/1),0.000,1/3*0.000 = 0.000
Color,red,yes,1,1/1,-1/1 * log2(1/1),0.000,1/3*0.000 = 0.000
Color,red,no,0,0/1,0,0.000,1/3*0.000 = 0.000
Color,,,,,,, 0.000
